placebo_chemo,,camr_chemo,
X,Y,X,Y
0.203515376,1.001333549,0.203515376,0.996069918
0.582249871,0.997326755,0.682098056,0.989870686
0.960984367,0.991505605,1.050503429,0.985765088
1.253642841,0.973629351,1.339718862,0.963440299
1.420056483,0.919816562,1.580731723,0.933442853
1.752883767,0.88970739,1.959466219,0.926295826
2.131618262,0.88109492,2.338200714,0.91893945
2.516091159,0.86783876,2.699720006,0.908712449
2.747540018,0.815033854,3.061239297,0.86988978
3.061239297,0.784335851,3.439973792,0.865045591
3.439973792,0.763999841,3.818708288,0.860945754
3.818708288,0.755247805,4.055895548,0.817690239
4.088413156,0.728671971,4.214657988,0.776277501
4.266303601,0.689947929,4.490101258,0.729674568
4.610607688,0.651774799,4.81719014,0.713345541
4.989342184,0.62418136,5.195924636,0.707496477
5.316431066,0.60310709,5.454152701,0.68141836
5.486123795,0.550982453,5.471367905,0.647802424
5.591874336,0.475616965,5.605263939,0.603209143
5.540228723,0.516774659,5.918963218,0.553800256
5.741892545,0.423366851,6.297697714,0.541838203
6.022254444,0.406080772,6.676432209,0.533504865
6.40098894,0.394328069,6.976915776,0.481246382
6.693647414,0.369772588,6.883014662,0.519989124
6.841698171,0.334222409,7.330609974,0.442159327
6.91744507,0.291244219,7.70934447,0.419590261
7.020736296,0.241957501,8.088078966,0.402681371
7.365040383,0.213693554,8.415167848,0.365287577
7.743774879,0.210245024,8.742256731,0.343916729
8.070863761,0.196951556,9.120991226,0.343399084
8.397952644,0.166491476,9.499725722,0.340229687
8.776687139,0.1525755,9.878460218,0.315846264
9.155421635,0.147312613,10.25719471,0.305419437
9.534156131,0.142468424,10.63592921,0.300016984
9.912890626,0.123248942,11.0146637,0.278564447
10.29162512,0.109751664,11.3933982,0.273441126
10.67035962,0.099464402,11.7721327,0.27055086
11.04909411,0.08422255,12.15086719,0.264450578
11.42782861,0.064514587,12.52960169,0.260304218
11.8065631,0.058414304,12.90833618,0.249737825
12.1852976,0.058454923,13.28707068,0.245731032
12.5640321,0.058635109,13.66580517,0.238793353
12.94276659,0.058536162,14.04453967,0.228087394
13.32150109,0.058576781,14.42327416,0.22756975
13.70023558,0.057780005,14.80200866,0.227610369
14.07897008,0.048748837,15.18074316,0.22276618
14.45770457,0.040275934,15.55947765,0.216945029
14.83643907,0.040316553,15.93821215,0.216985649
15.21517356,0.040496738,16.31694664,0.212420592
15.59390806,0.040397791,16.69568114,0.193201109
15.97264256,0.040438411,17.07441563,0.192543899
16.35137705,0.040618596,17.45315013,0.192584518
16.69568114,0.041027699,17.83188463,0.192625138
